Headline,Date,Link
"IPL Auction 2026 Highlights: Cameron Green Fetches 'World Record' Bid But CSK's Rs 28.40 Crore Stars Kartik Sharma, Prashant Veer Stun All - NDTV Sports","Tue, 16 Dec 2025 17:01:06 GMT",https://news.google.com/rss/articles/CBMigAJBVV95cUxPS0RMU1V6RXdNdWlBVHBqcFVlWmdIcnVhSHZsRm5WVUxKTjNXX3REc0o2b0tlY2VLUjJCN2xNTnc1SU1lTW9YVjlvNkZFaUJsRE5JbVNMdUJKV3hjcXk4bG1nX0R2b2hwQWFqN3BOSHR6bXFkVTd5V0ZqdWlVRTVaMzg4TEVDLWM4OXF6Rjh1ZXRPX2VWd0lJYmJyQmp0cmFuS2hITHZmNWZqVVdtalFyR2dXODVqVzF3bGdkUTk2V2xka3UtMnVEZXd3UjE1cGxXRzZZdUIyZXVJRy1Vd2lmMlRXYkEzVGdPNlUyS1BKZ3lVdmd2UVZ1TTlQcWVsdDRU?oc=5
IPL Auction: A payday to write off all debts - Chennai Super Kings snap up Bharatpur boy Kartik Sharma fo - Times of India,"Wed, 17 Dec 2025 03:44:00 GMT",https://news.google.com/rss/articles/CBMitAJBVV95cUxOQ05jQTVmVlFPSnllNTZrRmRGbUZCNkdmUUpaT2MyeHZvcXlzWTJzRGxqVHpicDhUNDRyM2RLRE5uV054MmNMT1V1NjZtTDVJWG1tS2JzWnFuMVQzUVZyRzJMMTJfTWpjeXkzUThTVERPVjlzRklRWGFrSWV4OVB0blY0MVVlX25Dc1BMMlE4Rlh2NW1kWkRLSGtKMmNUT3k0QXQzUG96dDVHb3lPYlZfck9IREdCUVl5Y2NZOFFycTRUendGZEtMeVdQa3NvTTF1SnFsSy12eWs1N1pYWk8ya2VpTTVNaTVXT3E4NXJiMy1aYjZLMTNGZEhWd3dNRW5PMmlMaVVkSTlCTEhxWGhUakg2eGJRM1hfUHpLdFVTWG1UTl9PMTFhTFpOTW4zSVZSVC1lRdIBugJBVV95cUxNM2MzX1dwM1RkRDhzWFc5YjV4ZlB3bVRGQkRrNWduNE9iTEZWeHRMUWN4TXZrZGRkRWhtSXdwdFd1SjZ0dGJqNmR1XzBmZGZDZkdaLUxYdmVQM1B2bDQtS2g0TGR0QkYzMXFvS002TG84WXl5bVB6UHpYWE94dWs0czF1QW44SDJDOFJfMTlqUUVxZzRBdFYyc1pVNlR2OXBmWGJKLWYzYVloVWtGRlZoS1A0UFl4TnQ4LWtBTWdJbWhtRWhRUTd0MW5NdjcyRUJwNWgyYUJQaEpPUk9hdFJWVlZPek1wU3dWS29kWVl4eGMtUm9fSjlyb3VEOEp4YjRnNVV6Mi10SFRCQ0RzTC1jbFc5OWlfOHRhWngzajRSQm1DMmdVT241Q0NBMXdwUE0wcExJR3FXZDFaQQ?oc=5
"From heartbreak to homecoming: Prithvi Shaw, Sarfaraz Khan revive IPL careers in dramatic auction twist - Times of India","Wed, 17 Dec 2025 02:50:00 GMT",https://news.google.com/rss/articles/CBMinwJBVV95cUxQM3hvV01HQnpMTTVxMy0zcThKbk9Ma1hJQVBrRlZXMzhnSGQ5TG53WmlEN1Z5aVRGdXc0ek9nbE1YRGtKckpiQVB1RGFyd2J6Nk1wQUl6YnoxMkpMTllRVDJCZXhoYXZVOUdRSGFPR0FFNU1jbU1OV0NvY0gzVGVUX21wRkxlZUVzekFpNjlwV2VRMHNaN0xrWWVzTlE4eGJpWVI5UThPMFRYNllRVU9xSzg0VGpWRE00ZjNhTDczdlVNdWtPODJ6dzRKWm9uX2p2cV83ODdwMTUzUmZZdG1JeXFHQU9EaVpxSUZNcmRyTGhaMFY0QjNsYmJ4XzNWdHdXbFptWVVSc3duVUw0Y1hhUHExZW9HVjRKYXdvZjMwUdIBpAJBVV95cUxQRkVoQXZYSW9lLUhMamxtSzdoNTlxblMxSk9DdGhFV29TM1gySUFscmoyRHJTRWlpaHUwNVlNd2s5clNISVNGVTVwTXk2b202MnBMTXR0c3pNRDUwUzE3ZTRsLTM1Z18wZnZKLTV2cDFubE93eGpMUGYtZ2IzazFqS2ppMmhvMjcxMkpqQ1V0cGF1d2xXX1RDdTRqVFVrdHRweU1zbVZtQUdIclBIMlNneldqQjJZWHhJVWFQSGdDLWQzYmI5T3NnVXREV01RY0t1LURUeV9vaGVhWlBhXzluc1kzYW5PdkQ2VFQyMEdwWmNvbzEyeXF5M25ZRk5Sd1JiYklrcjdaMDRWd2d2aEtIbF9uU0ptNVNZaDlqWW9OVW51cm56?oc=5
Australia's Green becomes IPL's most expensive overseas player - Reuters,"Tue, 16 Dec 2025 15:23:30 GMT",https://news.google.com/rss/articles/CBMiyAFBVV95cUxQYUE3VHdUREVYS2NKUTN3X0c1Ml8zZHNtLU9wck1NTENUZ19ZQWxubmVOT1plLU5YbHNrd2hoVUc1dGZiMkJuSjdsUGxjM1dIRkt1Z242M0ZWT3FTNUdpdUNhWEpQTGtod0NvZWdCYUlkbzg3OE9IRVhNRWRYOFVlYnoxME96MHgtVVdqZ0JvTUg3WXZHcGxaY1pHTDJVQWZBbnN1cFJ5cVFwVVZUNkl5a05MOVVCaUVRcE5mSERNZDBuUDVTMkRHdA?oc=5
Who is Mallika Sagar? IPL 2026 auctioneer under whose hammer lies fate of 369 players - MSN,"Wed, 17 Dec 2025 04:10:16 GMT",https://news.google.com/rss/articles/CBMi0wFBVV95cUxONXh0aHF0anZjLThKeGJJTkt2Ym1lcHBGblhaOWppNEU2enY4M0k1TnFjMy1jbndZYk5MZ3R1QVNIZ0RON3lCa1N2VTRLZVVkenRTVDdfMmNtUFlrNXlSakdIRTUyR2FOV3pfVUw2eWpHVTlSbWM0bG9HNFdnekJaSkM4TkdPWTVLZS0ya0NPNU5aR3BHYlkxSE9fQmVFcTV2eFR2R3kzdTFKMWRvenJwOVFZVWNNYWVWTXplTlRLc3BwY3ZBQnA1TVpHRFhPZHIxQ204?oc=5
IPL 2026 Auction Players List: Full Registered & Shortlisted Names - durhamccc.co.uk,"Wed, 17 Dec 2025 01:25:22 GMT",https://news.google.com/rss/articles/CBMiakFVX3lxTE0xdFY0dGNXeDR1ZHJvNzlHMGdxWV9hT1dON3FDUXRlN1ZJMFBPSVNIQng5OE1lbXNwUzFuZDMyaW9oSGtnWW4yLW4zT015bUxrb29kdW5Yd1plV0ZaNTNLWGw0aDh6Y1RiUWc?oc=5
IPL 2026 Auction: Rs 215.45 Crore Spent For 77 Players - How All 10 Teams Fared - NDTV Sports,"Wed, 17 Dec 2025 02:52:55 GMT",https://news.google.com/rss/articles/CBMiuAFBVV95cUxQOG42cGhGeW9zRDJFMS1QYm0tdVpuSkc0VF9zamhjeC1Bd2xBUU1UOTNYSklsOEhfY3pUQW1IVGFoMndHSE9BRWN6MUh5SHRwM2JKSVhNMmMzYlVwbndfYTd2X2ZOeFpoS3gzbGpkcjlKOEhHWHFudmwtRGxiN1dEYmRwNjlzNlRZU2o4LU51aC15Qnk3SE1NQkNDazV4MkFCYk5rdVJjSzkwR1hfb3NzM0ZFa1h5bVdO?oc=5
Cameron Green becomes most expensive overseas player in IPL history - ESPN,"Tue, 16 Dec 2025 10:16:00 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE03Vk5HY3VsYUNobDNYSkJPNWV5QU5nM3RyaG03b0hERXJOU3BjNlVaaXA4NjkwcUZxTC1UakFPTjdINndmNkF0RFk0RE00eEtFLWoybGhELU5XZWc?oc=5
IPL auction 2026: Australia's Cameron Green becomes most expensive overseas player in tournament's history - Sky Sports,"Tue, 16 Dec 2025 18:33:45 GMT",https://news.google.com/rss/articles/CBMi7gFBVV95cUxQclhaS3FZU3hZdFA5SmwwT3F2cHRuQ3RIYzQwRnpNSE0tN2VscGFHVDZObm51Z3d2MXBJcTZMMVBmQm11LVJvRFdtSUhndmJZYXVNUDNNLVM0WTNhMlk3Szg1b0phbi1rZjJPSXJkM1ZYSU9ZeG1vQklNRXZjelBSYXQ3LWxCWndjd09ENkN6b2pqeWo0c3ppUy1GN3hOUHpSX1JUOXRJc0RKQ0t0WmFIZHlDc1lTYjVSSkh4eEt6XzB5OF9HYm93ZUx6U056WmdEeUU3SnNrZVo3RXBhOExjY1psSm5DZXB0Wmd0ZlZn?oc=5
Cameron Green’s Kolkata Knight Riders deal breaks IPL record for overseas player - The Guardian,"Tue, 16 Dec 2025 13:44:00 GMT",https://news.google.com/rss/articles/CBMirwFBVV95cUxOWmlHV1lzbGNkaU9OeEpFX3oySUdjcEJNNm5kVWxnVGV2MmQ5NUpBbHNYN0hVY2hvQTdiQm0wNlJCMkNRb1VEazRrajJLY2tXcGg3T0VEVFVWTVVYYVRTWV93a3M2ZmxtenpHZ3N4MXR2SzBKRk41RmhwRjVxMTg4RFZIcHduVUxkb2M1VmdBd3o5WWRfRkFWSG02dDFOS3hHNXU2cVN6SDdyNkhwVXJN?oc=5
IPL 2026 Auction: First-time picks and uncapped players sold; check full list - The Economic Times,"Wed, 17 Dec 2025 02:25:18 GMT",https://news.google.com/rss/articles/CBMi2AFBVV95cUxQdXFHbm1ISlc3RW5Oc3k4cG1FZGg3N0dIenV0OW1pMWVYb3BmQnZsdmRmZGRiblBlNVU4eWQ3TTMyUFR4bkR4VEdzUEdzaXdOV1RSeTFhMldHSUFjM2FBdmxUUXFFdDB0RG5EM0c2a1VFdlJTSGJIUVJaN1FmZFY2X0hxTkRpZHByQnpiRXQ5SG1pYmUtQllDLVVkOWdqMnNVNnpOV3ZXN2xGcXRiX25pMkJqRnZqX0lZaXd5YTg3UHZxX0NQNFVQbEtXSVNPV3J5aFplZjdmN1LSAd4BQVVfeXFMUFBMR2xLOVE1clNTeVVKNndwUDl4Q1lkMWNYQ1JkbGxKcENqYnB6RHZIdXlGNzhuYkNwLVRkOHk3RjE5UjZlWHdZVGc1dVV1OWFFbW1SaE5kb0tXQWEyQUpHbDBBQWlMdUF4cnc5NjJQdGw5STFNcG5mOWZpZHBscC1hdjRsMHAydzI5NFdQR0R0VU9abTItamxTbUZ3WVhuQXVJWnpuUFBKUGpXdFZGR2JraUJ3LTZEczVHeFJnVnliU3Atd3FCd3hvLVRGUHphUjBBeFFRbkNRRkpxU25n?oc=5
IPL 2026 auction: Full list of players sold; Cameron Green costliest buy - thefederal.com,"Tue, 16 Dec 2025 15:45:12 GMT",https://news.google.com/rss/articles/CBMikAFBVV95cUxNYnZBNXU2b0RPc2pxTFI3ZzlMa0NNNlNuOUtJQVRGRDhFTTJTcjFyV3FldDBtVHdQdHlNVkhCT0ZOWEtoVDJfRHhONXQxQVp0NjZjc1I4QnBIbnhoeVRIUHFTNzI1dmRzZjNzX01jb1RDRXJzeXczejhNTlJkMldZZEF1UWIwT293X2c0QUJTQU4?oc=5
"IPL 2026 teams, squads: CSK, MI, RCB, RR, SRH, KKR, LSG, GT, DC, PBSK - BBC","Tue, 16 Dec 2025 15:57:12 GMT",https://news.google.com/rss/articles/CBMiZkFVX3lxTE9UbjdHdVBKVGlYeUZjM1BNbmlCanZzTDF4YnpKaFVkY0NSN0YybkQ2azVKR2NRZ2l3aTBpRnRLTFBndnliYWFFREFqSnAzOTFoSHJKOFdJX081VENfOFNnZmUtREg1UQ?oc=5
IPL Auction 2026 Live Updates: KKR splurge record sum on Cameron Green and Matheesha Pathirana; CSK spend Rs 28.4 crore on uncapped duo - Times of India,"Wed, 17 Dec 2025 05:07:43 GMT",https://news.google.com/rss/articles/CBMirAJBVV95cUxNVmh2ZHZyVExUMXFPRGJDZDd0QjY1RzRBb2IxYnhwd0VabnQ0OTVfeTVCemp1NjBWUU1iWnM5TGVKa0FyeWY2d0pvRVRraUVtUGpZaGFqSS1CNG52NktKa1UzbDZwRVY1WERqdldqWENWU0d4QllPc0k5VjBiUi1tSU8yUVdxSEFiSkRHbEh4OXdqNTJneXdla0ExQk5Vd0lYcW1rR3JHa2RDMm93d1BVZUdiTUlZZjZmaVdPTjBsMUFsZkVaT1hUUjAzWElTQlFnVzkwSUdDamtFVWhqQzNjZ3FNYzlwc0Y2X0Z6bUdCVWIzRkYyYnZKSWczQzFXVVN3MnZXaWRBazlhM0R0MDlKUE1uLTltQkxYX1BndVA5SVNDWGtHdkp1aHRoYlDSAbICQVVfeXFMUG9hTnNVTUJiQkVadXgySzlQcUJTcWZQOWFYZ2VvRFBrQ3BLT0xZWUJnY1FFRXpDeDNUSE96WVBKTFZPbTJXNWVuTjI1UmhZVFBzQUk3R0FObTQycC0tR3c4WHZ5bGlpVmdnSFg4R25wY3JZY3FKRk5rcVNGMjctdUp0UmtqdzBNbExrX01OMWZJd2tRZmlKSm9wczJxcXVUa2JTQTlFY1BvSkRxQXQwTUFTbHFqNW1qbWNvSXQ1UWNTZmROM0NiVEJzOHZTUWZXc2pDN3J5Z1J0R2FtX0k0Q0otM0NscklsYWNtNUdRYUxBeVJmUERyd2dvUE5mbnhpZDNPTmVtYXhwaXNjN1ZQYi1tNG00d29wZWFGbjg1MTY4QnFWN0tGQXZ0NnNmdVNHRTFB?oc=5
